id,first_name,last_name,email,gender,city,country,age,YOE,college_bool,uni_name,uni_tier,company_name,industry,sector,company_bio,location,valuation,profitable,growth_rate,funding_round,investor_no
1,Gayler,Cannaway,gcannaway0@pinterest.com,Male,Budapest,Hungary,37,9,false,Pázmány Péter Catholic University,2,"Ruecker, Gusikowski and Mayer",n/a,n/a,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.",26 Harbort Trail,26029414,true,67,2,7
2,Letizia,Leroux,lleroux1@joomla.org,Female,Enskede,Sweden,30,3,true,Gotland University College,2,Maggio LLC,Oil & Gas Production,Energy,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",80567 Sauthoff Junction,45061716,true,32,4,6
3,Donny,Cockley,dcockley2@discuz.net,Female,Sabanalarga,Colombia,29,15,false,Universidad El Bosque,3,"Ortiz, Keebler and Hoeger",n/a,n/a,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",27263 Everett Park,19110731,true,4,3,8
4,Alleyn,Solomon,asolomon3@shop-pro.jp,Male,Waco,United States,36,3,true,Rasmussen College,1,"Hilpert, Cormier and Langosh",Major Pharmaceuticals,Health Care,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",2812 Pine View Way,27502506,false,29,4,2
5,Zilvia,Monini,zmonini4@miibeian.gov.cn,Female,Sorren Daya,Indonesia,30,5,false,Universitas Islam Syekh-Yusuf ,1,Cruickshank and Sons,Major Pharmaceuticals,Health Care,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.",6 Village Green Point,48563472,false,49,3,2
6,Ronna,Scirman,rscirman5@naver.com,Female,Ustyuzhna,Russia,39,0,false,Cheljabinsk State Institute of Teacher Training,1,"Wisozk, Corkery and Barrows",Oil & Gas Production,Energy,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,19950 Crescent Oaks Point,46395577,false,83,2,9
7,Thurstan,Goncalo,tgoncalo6@mtv.com,Male,Tuchola,Poland,22,16,true,Music Academy in Lodz,3,"Schulist, Purdy and Hegmann",Property-Casualty Insurers,Finance,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",31142 Spohn Road,39486990,false,85,4,10
8,Elena,Rown,erown7@sina.com.cn,Female,Nong Hin,Thailand,23,6,false,Hatyai University,2,"Mraz, Funk and Denesik",Computer Software: Prepackaged Software,Technology,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",8 Prairie Rose Hill,46478093,false,100,3,4
9,Stanly,Snashall,ssnashall8@google.nl,Male,Köyliö,Finland,46,1,false,EVTEK University of Applied Sciences,1,Barton-Lockman,Auto Parts:O.E.M.,Capital Goods,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,43 Mallory Road,6715620,true,25,2,3
10,Lorry,Zanetto,lzanetto9@sitemeter.com,Male,Odoyev,Russia,52,7,true,Moscow State Institute of Steel and Alloys,1,"Lindgren, Schroeder and Hermiston",Oil & Gas Production,Public Utilities,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",71 Eastlawn Point,17042045,true,79,1,6
11,Saunderson,Dorran,sdorrana@ox.ac.uk,Male,Argasari,Indonesia,42,1,true,Universitas Slamet Riyadi Surakarta,2,O'Kon-Friesen,n/a,n/a,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",54 Burrows Park,10799348,false,28,3,5
12,Alfonso,Emmott,aemmottb@issuu.com,Male,Salgar,Colombia,53,13,true,Escuela Colombiana de Ingeniería Julio Garavito,1,"McCullough, Hudson and Turcotte",Fluid Controls,Capital Goods,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",638 Westridge Plaza,30699776,false,82,1,4
13,Denyse,Conibear,dconibearc@linkedin.com,Female,Xiashitai,China,58,12,true,Southwest University,2,"Schoen, Homenick and Mosciski",Major Pharmaceuticals,Health Care,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",35371 Haas Place,24603601,true,22,2,8
14,Denny,Rozet,drozetd@springer.com,Female,Maisí,Cuba,32,7,false,Universidad de La Habana,1,Connelly Inc,Real Estate Investment Trusts,Consumer Services,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",53 Monument Pass,2509780,true,5,1,9
15,Peta,Middell,pmiddelle@lulu.com,Female,Santa Cruz,Philippines,54,18,true,Saint Ferdinand College,1,Witting LLC,Major Pharmaceuticals,Health Care,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",8 Myrtle Avenue,6009543,false,1,4,10
16,Frederick,Buterton,fbutertonf@infoseek.co.jp,Male,Pomerode,Brazil,41,0,false,Universidade Regional de Blumenau,1,"Gottlieb, Streich and Donnelly",Apparel,Consumer Non-Durables,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",38 Elmside Hill,34333997,true,73,2,6
17,Brianna,D'Antoni,bdantonig@hatena.ne.jp,Female,Cabanas,Portugal,54,11,false,Academia Nacional Superior de Orquesta,3,Mills and Sons,n/a,n/a,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",565 Messerschmidt Drive,33102926,false,14,2,4
18,Willette,Ell,wellh@bloglovin.com,Female,Monte,Portugal,19,19,false,Instituto Politécnico de Leiria,2,McDermott and Sons,Commercial Banks,Finance,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",9315 Brown Drive,13899999,false,74,4,9
